Packetlevel,Neighbour,Component,Depth,Train_AUC,Test_AUC,Train_TPR,Test_TPR,Train_FPR,Test_FPR
4,20,5,2,1.0,0.998,1.0,0.928571,0.774775,0.940476
4,20,5,3,1.0,0.998,1.0,0.904762,0.774775,0.880952
4,20,5,4,1.0,0.998,1.0,0.904762,0.774775,0.892857
4,20,5,5,1.0,0.998,1.0,0.857143,0.774775,0.821429
4,20,5,6,1.0,0.998,1.0,0.857143,0.774775,0.857143
4,20,5,7,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,20,5,8,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,20,5,9,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,20,5,10,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,20,5,11,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,20,6,2,1.0,0.998,1.0,0.928571,0.783784,0.892857
4,20,6,3,1.0,0.998,1.0,0.904762,0.774775,0.845238
4,20,6,4,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,20,6,5,1.0,0.998,1.0,0.880952,0.774775,0.904762
4,20,6,6,1.0,0.998,1.0,0.880952,0.774775,0.916667
4,20,6,7,1.0,0.998,1.0,0.880952,0.774775,0.940476
4,20,6,8,1.0,0.998,1.0,0.880952,0.774775,0.940476
4,20,6,9,1.0,0.998,1.0,0.880952,0.774775,0.940476
4,20,6,10,1.0,0.998,1.0,0.880952,0.774775,0.940476
4,20,6,11,1.0,0.998,1.0,0.880952,0.774775,0.940476
4,20,7,2,1.0,0.998,1.0,0.928571,0.783784,0.892857
4,20,7,3,1.0,0.998,1.0,0.928571,0.774775,0.845238
4,20,7,4,1.0,0.998,1.0,0.904762,0.774775,0.940476
4,20,7,5,1.0,0.998,1.0,0.904762,0.774775,0.940476
4,20,7,6,1.0,0.998,1.0,0.904762,0.774775,0.952381
4,20,7,7,1.0,0.998,1.0,0.904762,0.774775,0.952381
4,20,7,8,1.0,0.998,1.0,0.904762,0.774775,0.952381
4,20,7,9,1.0,0.998,1.0,0.904762,0.774775,0.952381
4,20,7,10,1.0,0.998,1.0,0.904762,0.774775,0.952381
4,20,7,11,1.0,0.998,1.0,0.904762,0.774775,0.952381
4,20,8,2,1.0,0.998,1.0,0.928571,0.783784,0.880952
4,20,8,3,1.0,0.998,1.0,0.904762,0.774775,0.880952
4,20,8,4,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,20,8,5,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,20,8,6,1.0,0.998,1.0,0.880952,0.774775,0.916667
4,20,8,7,1.0,0.998,1.0,0.880952,0.774775,0.940476
